id,admin_id,lat,lon,name,provider,is_private,provider_is_private,geo_checked
683778,COL.18.4_1_gadm36,11.382041,-72.2401874,Institucion educativa numero 4 sede jorge magdaniel rosado,OSM,f,f,t
683351,COL.18.5_1_gadm36,11.5356287,-72.8947458,colegio marcelo graziosi,OSM,f,f,t
683349,COL.18.5_1_gadm36,11.5450973,-72.9197778,ginmasio integraldel norte   - sede principal,OSM,f,f,t
683348,COL.18.5_1_gadm36,11.5433707,-72.9126661,colegio Enrrique Lallemad,OSM,f,f,t
683770,COL.18.3_1_gadm36,10.8975729,-72.8835024,Institucion Educativa Margot Maestre De Ariza,OSM,f,f,t
683768,COL.18.3_1_gadm36,10.8840878,-72.8594371,Sede Educativa San Rafael Arcangel,OSM,f,f,t
683766,COL.18.1_1_gadm36,10.8916058,-72.8521434,Institucion Educativa Tecnica Maria Inmacula,OSM,f,f,t
683765,COL.18.3_1_gadm36,10.8365884,-72.8859034,Centro Etnoeducativo Sede La Ceiba,OSM,f,f,t
683764,COL.18.3_1_gadm36,10.8643721,-72.8927522,Ssde etnoeducativa El Paraiso,OSM,f,f,t
683763,COL.18.3_1_gadm36,10.881818,-72.8916507,Institucion Educativa Rural de Buenavista,OSM,f,f,t
683344,COL.18.1_1_gadm36,10.9089233,-72.7981446,CARRETALITO,OSM,f,f,t
683634,COL.18.8_1_gadm36,11.7347044,-72.3155873,Escuela chamain,OSM,f,f,t
683760,COL.18.3_1_gadm36,10.8604742,-72.8718424,Sede Etnoeducativo De Cardonal,OSM,f,f,t
683916,COL.32.1_1_gadm36,4.4459586,-69.7970285,Centro Desarrollo Infantil,OSM,f,f,t
679942,COL.2.13_1_gadm36,5.6891989,-75.1306473,Esc. Arboleda,OSM,f,f,t
683756,COL.18.3_1_gadm36,10.9154424,-72.9166213,Sede Etnoeducativa los Hornitos,OSM,f,f,t
683755,COL.18.3_1_gadm36,10.9273271,-72.9438002,Institucion Educativa Rural Gladis Bonilla De Gil,OSM,f,f,t
683754,COL.18.6_1_gadm36,10.986339,-72.9743268,Escuela Etnoeducativa Dos Camino,OSM,f,f,t
683752,COL.18.1_1_gadm36,10.88905,-72.8431427,Sede Educativa Calixto Maestre,OSM,f,f,t
683750,COL.18.1_1_gadm36,10.8895559,-72.8361869,Sede Educativa El Carmen,OSM,f,f,t
683749,COL.18.3_1_gadm36,10.8893643,-72.8617341,Intitucion Educativa Agropecuaria De Fonseca,OSM,f,f,t
683748,COL.18.1_1_gadm36,10.890046,-72.8557689,SedeEducativa Cleotilde Poveda De Romer,OSM,f,f,t
683747,COL.18.1_1_gadm36,10.882145,-72.8465,Instituto Educativo Ernesto Parodi Medina,OSM,f,f,t
683746,COL.18.3_1_gadm36,10.8278536,-72.898649,Sede Etnoeducativa El Caimito,OSM,f,f,t
683590,COL.18.8_1_gadm36,12.1342894,-72.0711566,Escuela ipain,OSM,f,f,t
683745,COL.18.3_1_gadm36,10.8831769,-72.8921694,Colegio  Liceo San Jorge,OSM,f,f,t
683743,COL.18.1_1_gadm36,10.9324301,-72.8666968,Centro Etnoeducaptivo Mayamangloma,OSM,f,f,t
683742,COL.18.1_1_gadm36,10.8383367,-72.7652964,Escuela Etnoeducativa Los Toquitos,OSM,f,f,t
684014,COL.14.79_1_gadm36,4.6882522,-74.1319043,Escuela de Operaciones Copa Airlines Colombia,OSM,f,f,t
683740,COL.18.1_1_gadm36,10.8898976,-72.8548869,Cementerio Central Barrancas,OSM,f,f,t
683739,COL.18.1_1_gadm36,10.8776106,-72.805285,Escuela Rural Sede Los Altos,OSM,f,f,t
683738,COL.18.1_1_gadm36,10.976611,-72.8555391,Escuela Etnoeducativa El  Jaguey,OSM,f,f,t
683736,COL.22.32_1_gadm36,7.9203638,-72.4965183,Jardin  Zona Franca,OSM,f,f,t
683735,COL.22.32_1_gadm36,7.9102554,-72.4996148,UNIVERSIDAD SANTANDER,OSM,f,f,t
683731,COL.18.1_1_gadm36,10.9090431,-72.798065,Sede Educativa Carretalito,OSM,f,f,t
683730,COL.18.1_1_gadm36,10.9343005,-72.8083627,Sede educativa Chancleta,OSM,f,f,t
683729,COL.18.1_1_gadm36,10.9993283,-72.780287,Sede Etnoeducativa cerrillo,OSM,f,f,t
683728,COL.18.1_1_gadm36,10.9942136,-72.7797576,Institucion Educativa Eloy Segundo Heernandez,OSM,f,f,t
683343,COL.18.1_1_gadm36,10.9516572,-72.7934396,JARDIN INFANTIL MIS RETOÑITOS - SEDE PRINCIPAL,OSM,f,f,t
682355,COL.2.68_1_gadm36,6.2351895,-75.5545255,Institucion Educativa La Milagrosa,OSM,f,f,t
683342,COL.18.1_1_gadm36,10.9533843,-72.7913946,JARDIN INFANTIL LA MILAGROSA,OSM,f,f,t
683341,COL.18.1_1_gadm36,10.957468,-72.7894583,JARDIN INFANTIL DIVINO NIÑO,OSM,f,f,t
683727,COL.18.1_1_gadm36,10.9970295,-72.8171071,Sede Educativa Pozo Hondo,OSM,f,f,t
683726,COL.18.1_1_gadm36,11.0661574,-72.7629791,Institucion Educativa Carlos Alberto Camargo,OSM,f,f,t
683725,COL.18.1_1_gadm36,11.0029483,-72.8252108,Sedo Etnoeducativa cerrodeo,OSM,f,f,t
683724,COL.18.1_1_gadm36,10.8956107,-72.828391,Centro Integral Agricola SENA,OSM,f,f,t
683723,COL.18.1_1_gadm36,10.8733358,-72.7341485,Centr Educativo  Luis Alfonzo Brito  De San Pedro (Barrancass),OSM,f,f,t
683722,COL.18.1_1_gadm36,10.9886876,-72.7808183,Sede Etnoeducativa  Oreganal,OSM,f,f,t
683721,COL.18.1_1_gadm36,10.9755554,-72.8141805,Sede educativa guayacanal,OSM,f,f,t
683720,COL.18.6_1_gadm36,11.0839821,-72.7490531,Escuela Urbana Mixta #2 Hatonuevo,OSM,f,f,t
683719,COL.18.1_1_gadm36,11.0694822,-72.7633209,Institucion Educativa Nuestra Señora Del Carmen,OSM,f,f,t
683718,COL.18.1_1_gadm36,11.0690237,-72.7596259,Centro Educativo sede La Esperanza,OSM,f,f,t
683717,COL.18.3_1_gadm36,10.853569,-72.8321756,Centro educativo Almapoket sede El  Comfuso,OSM,f,f,t
683716,COL.18.1_1_gadm36,10.9578497,-72.7893791,Centro Educativo Sede Elba Solano,OSM,f,f,t
683340,COL.18.1_1_gadm36,10.9574011,-72.7868569,KINDER MARIA JOSE,OSM,f,f,t
683714,COL.18.1_1_gadm36,10.950244,-72.7939182,Sede Educativa  viilla luz,OSM,f,f,t
683674,COL.18.8_1_gadm36,11.8222389,-72.2940263,Escuela shurruichon,OSM,f,f,t
683711,COL.18.6_1_gadm36,11.5303294,-72.9246246,Escuela ipc,OSM,f,f,t
683710,COL.18.8_1_gadm36,11.8310749,-72.2344868,Escuela sapalou,OSM,f,f,t
684016,COL.14.79_1_gadm36,4.6806263,-74.1464282,Jordan Confinanciado,OSM,f,f,t
683708,COL.18.8_1_gadm36,11.7993732,-72.2369864,Escuela la loma,OSM,f,f,t
683707,COL.18.8_1_gadm36,11.7968407,-72.2689332,Escuela ipatuu,OSM,f,f,t
683636,COL.18.8_1_gadm36,11.7447075,-72.3230961,Escuela juyapararen,OSM,f,f,t
683706,COL.18.8_1_gadm36,11.7988013,-72.2473566,Escuela barranquita,OSM,f,f,t
683705,COL.18.8_1_gadm36,11.7847334,-72.258054,Escuela sawachimana,OSM,f,f,t
683704,COL.18.8_1_gadm36,11.7642709,-72.2650337,Escuela jirijipana,OSM,f,f,t
683637,COL.18.8_1_gadm36,11.7189741,-72.3340157,Escuela ichon,OSM,f,f,t
683703,COL.18.8_1_gadm36,11.7427146,-72.2633035,Escuela meera,OSM,f,f,t
683701,COL.10.37_1_gadm36,3.0456583,-76.2255717,Institución educativa la playa,OSM,f,f,t
683700,COL.18.6_1_gadm36,11.5054006,-72.9901482,Sede Etnoeducativa El Horno,OSM,f,f,t
683699,COL.18.6_1_gadm36,11.519473,-72.9584698,Sede Etnoeducativa La Cahaca 1,OSM,f,f,t
684018,COL.2.68_1_gadm36,6.2148445,-75.5846863,Instución Educativa Octavio Calderón Mejía,OSM,f,f,t
683695,COL.18.6_1_gadm36,11.4341018,-73.080044,Sede Etnoeducativo  El Gusimo,OSM,f,f,t
683693,COL.18.6_1_gadm36,11.4282336,-73.0836077,Sede Etnoeducativa Loma Fresca,OSM,f,f,t
683640,COL.18.8_1_gadm36,11.6724683,-72.3273254,Escuela taplamana,OSM,f,f,t
683641,COL.18.8_1_gadm36,11.6964297,-72.3176067,Escuela omochon,OSM,f,f,t
683690,COL.18.6_1_gadm36,11.1866514,-72.7289416,Centro Etnoeducativo #9Sede La Arena #2,OSM,f,f,t
683689,COL.18.5_1_gadm36,11.5496653,-72.8868826,Centro Etnoeducativo # 4El Pasito,OSM,f,f,t
683642,COL.18.8_1_gadm36,11.7002668,-72.2698301,Escuela flor del campo,OSM,f,f,t
683688,COL.18.5_1_gadm36,11.5365986,-72.8930583,Centr Etnoeducativo #4 Sede  Juluacho,OSM,f,f,t
683339,COL.18.1_1_gadm36,10.9597898,-72.7939621,INSTITUTO MARIA BERNARDA BUTLER,OSM,f,f,t
683338,COL.18.1_1_gadm36,10.9613824,-72.7897223,MONTE ALVERNIA,OSM,f,f,t
683685,COL.18.8_1_gadm36,11.7354211,-72.2807103,Escuela amasimaru,OSM,f,f,t
683684,COL.18.8_1_gadm36,11.8297725,-72.3053609,Escuela kaiwarraimana,OSM,f,f,t
683337,COL.18.1_1_gadm36,10.9503599,-72.7941831,VILLA LUZ,OSM,f,f,t
684020,COL.21.50_1_gadm36,1.1621425,-77.1567824,Institucion Educativa MPAL. El Encano,OSM,f,f,t
683683,COL.18.8_1_gadm36,11.8178195,-72.3088063,Escuela kasipatchi 2,OSM,f,f,t
683682,COL.18.8_1_gadm36,11.8117737,-72.2958723,Escuela jaishipa,OSM,f,f,t
684021,COL.27.70_1_gadm36,6.5557902,-73.1327001,Connect4: Español y Ingles,OSM,f,f,t
680625,COL.12.20_1_gadm36,5.2398417,-76.5289982,Esc. Chacuante,OSM,f,f,t
683681,COL.18.8_1_gadm36,11.843903,-72.3219804,Escuela poportin,OSM,f,f,t
683680,COL.18.8_1_gadm36,11.8213598,-72.3023838,Escuela kasipatchi 1,OSM,f,f,t
683643,COL.18.8_1_gadm36,11.7062239,-72.3206499,Escuela ichiket,OSM,f,f,t
683678,COL.18.8_1_gadm36,11.8023356,-72.3031636,Escuela apotolipa,OSM,f,f,t
683677,COL.18.8_1_gadm36,11.8251676,-72.2952646,Escuela wasimas,OSM,f,f,t
683676,COL.18.8_1_gadm36,11.8276021,-72.2962581,Escuela itaitu,OSM,f,f,t
683675,COL.18.8_1_gadm36,11.8204592,-72.3113192,Escuela macurumana,OSM,f,f,t
683673,COL.18.8_1_gadm36,11.8005838,-72.2854618,Escuela lapumana,OSM,f,f,t
683672,COL.18.8_1_gadm36,11.7944475,-72.3014437,Escuela botonchon,OSM,f,f,t
683671,COL.18.8_1_gadm36,11.7883562,-72.2998276,Escuela jasalenchon,OSM,f,f,t
683670,COL.18.8_1_gadm36,11.7818091,-72.3086684,Escuela jotomana,OSM,f,f,t
683668,COL.18.8_1_gadm36,11.7005735,-72.2914712,Escuela juyasirain 2,OSM,f,f,t
683667,COL.18.8_1_gadm36,11.7609066,-72.280533,Escuela jepirol 2,OSM,f,f,t
683665,COL.18.8_1_gadm36,11.6394106,-72.3019933,Escuela katzaliamana,OSM,f,f,t
683126,COL.18.6_1_gadm36,11.2181362,-73.3992857,Hogar infantil mingueo,OSM,f,f,t
684022,COL.32.1_1_gadm36,4.8862019,-69.0646453,Colegio El Tuparro,OSM,f,f,t
683114,COL.22.32_1_gadm36,7.8818797,-72.5027882,UNIMINUTO Universidad,OSM,f,f,t
683113,COL.21.50_1_gadm36,1.1445801,-77.1547787,,OSM,f,f,t
683111,COL.18.4_1_gadm36,11.3708093,-72.2526174,CDI sembrado huellas de amor,OSM,f,f,t
683110,COL.14.79_1_gadm36,4.6026807,-74.1247557,IED Benjamin Herrera Sede A,OSM,f,f,t
683109,COL.18.6_1_gadm36,11.2739189,-73.3068289,Hogar infantil dibulla,OSM,f,f,t
683108,COL.18.6_1_gadm36,11.2706486,-73.1801679,Hogar infantil las flores,OSM,f,f,t
683107,COL.11.24_1_gadm36,10.475725,-73.2492442,Institución Imtecom Comfacesar,OSM,f,f,t
683644,COL.18.8_1_gadm36,11.6866123,-72.3317222,Escuela merrachon,OSM,f,f,t
683105,COL.14.79_1_gadm36,4.5846531,-74.1113787,,OSM,f,f,t
683104,COL.2.68_1_gadm36,6.2446418,-75.5627034,Instituto Ferrini,OSM,f,f,t
683103,COL.2.68_1_gadm36,6.2435549,-75.5634681,ATEC,OSM,f,f,t
683322,COL.18.5_1_gadm36,11.5527419,-72.9077814,sagrada familia,OSM,f,f,t
683100,COL.6.36_1_gadm36,5.7508881,-73.5487408,Jardín Infantil del ICBF,OSM,f,f,t
683099,COL.6.36_1_gadm36,5.7522217,-73.5498444,Colegio Juan Jose Neira,OSM,f,f,t
683336,COL.18.1_1_gadm36,10.9581777,-72.789375,ELBA SOLANO,OSM,f,f,t
683332,COL.18.1_1_gadm36,10.9519371,-72.7968314,INSTITUCION EDUCATIVA PAULO VI-LORENZO SOLANO PELAEZ,OSM,f,f,t
683335,COL.18.1_1_gadm36,10.9544782,-72.7884014,INSTITUCION EDUCATIVA TÉCNICA REMEDIOS SOLANO,OSM,f,f,t
683334,COL.18.1_1_gadm36,10.9584668,-72.7948951,JARDIN INFANTIL ANTONIA RODRIGUEZ,OSM,f,f,t
682441,COL.2.88_1_gadm36,6.9537488,-75.619742,El Filo,OSM,f,f,t
680609,COL.10.7_1_gadm36,2.768936,-76.5445687,Esc. Cañaveral,OSM,f,f,t
683333,COL.18.1_1_gadm36,10.9594185,-72.7835515,NUESTRA SEÑORA DEL PILAR,OSM,f,f,t
683328,COL.18.5_1_gadm36,11.5357277,-72.9126567,SAN AGUSTIN,OSM,f,f,t
683327,COL.18.5_1_gadm36,11.529197,-72.9039996,JARDIN LA PRESENTACION,OSM,f,f,t
683326,COL.18.5_1_gadm36,11.5511548,-72.9053465,CHON-KAY,OSM,f,f,t
682438,COL.2.92_1_gadm36,6.8927968,-75.7077831,San Antonio,OSM,f,f,t
683323,COL.18.5_1_gadm36,11.5482084,-72.9091736,LAS AMýRICAS,OSM,f,f,t
683324,COL.18.6_1_gadm36,11.5386665,-72.9348809,CENTRO EDUCATIVO NUEVO HORIZONTE,OSM,f,f,t
680604,COL.10.7_1_gadm36,2.8123266,-76.6071008,Esc.  La Estrella,OSM,f,f,t
683991,COL.30.32_1_gadm36,3.3315101,-76.5545221,Colegio Philadelphia,OSM,f,f,t
683993,COL.2.68_1_gadm36,6.2495135,-75.6003791,Rumba y Salsa Medellín,OSM,f,f,t
683994,COL.18.4_1_gadm36,11.377551,-72.2505408,institucion pilar antonia ojeda,OSM,f,f,t
683321,COL.18.5_1_gadm36,11.5379127,-72.8922504,GIMNASIO CERROMAR,OSM,f,f,t
683647,COL.18.8_1_gadm36,11.694191,-72.2847799,Escuela cadenachon,OSM,f,f,t
683319,COL.14.79_1_gadm36,4.6223583,-74.1763239,Jardin Infantil El Chavo,OSM,f,f,t
683317,COL.2.68_1_gadm36,6.2712273,-75.5572185,Institución Educativa Alfonso Mora Naranjo,OSM,f,f,t
683648,COL.18.8_1_gadm36,11.7083751,-72.2812681,Escuela juyasirain,OSM,f,f,t
683577,COL.14.79_1_gadm36,4.6236054,-74.1529142,Instituto triangulo kennedy,OSM,f,f,t
683313,COL.10.37_1_gadm36,3.0498123,-76.2381561,Escuela vda gargantilla,OSM,f,f,t
683311,COL.26.3_1_gadm36,12.577093,-81.7034101,,OSM,f,f,t
679940,COL.2.13_1_gadm36,5.6737887,-75.1283173,Esc. La Quiebra,OSM,f,f,t
683570,COL.18.8_1_gadm36,12.1937844,-72.1406982,SEDE CABO DE LA VELA,OSM,f,f,t
683619,COL.18.4_1_gadm36,11.3899374,-72.22952,Institucion educativa numero 1 norberto iguaran weeber,OSM,f,f,t
679939,COL.2.13_1_gadm36,5.6743387,-75.1304374,Esc. La Quiebra,OSM,f,f,t
683305,COL.18.5_1_gadm36,11.4863411,-72.7141631,Internado San Antonio,OSM,f,f,t
683630,COL.18.4_1_gadm36,11.3805431,-72.2488965,Institucion educativa numero 6 sede antonio nariño,OSM,f,f,t
683866,COL.18.5_1_gadm36,11.4356377,-72.5367228,Centro educativo indigena numero 2  sede acuarut,OSM,f,f,t
683298,COL.29.6_1_gadm36,3.1855283,-75.61105,INST. EDU. TEC. LOS ANDES,OSM,f,f,t
680687,COL.13.25_1_gadm36,8.0286163,-76.3043214,Esc. Quebrada Linda,OSM,f,f,t
