iso3,lat,lon,adminid,pop,closest_dist_0,closest_dist_1,closestid0,closestid1,id
COL,12.52083333,-81.72916667,COL.26.3_1_gadm36,35660.63281,6776.276439,6776.276439,683310,683310,1
COL,1.5625,-78.39583333,COL.21.5_1_gadm36,1300.450928,2217.66992,2217.66992,1010518,1010518,151
COL,1.520833333,-78.39583333,COL.21.5_1_gadm36,961.369751,5964.361015,5964.361015,1010518,1010518,155
COL,1.4375,-78.39583333,COL.21.5_1_gadm36,1532.060913,1880.842491,1880.842491,1020302,1020302,148
COL,1.229166667,-78.52083333,COL.21.46_1_gadm36,1239.258789,9445.685093,9445.685093,1020291,1020291,94
COL,1.395833333,-78.47916667,COL.21.46_1_gadm36,1322.467407,1364.036844,1364.036844,1020162,1020162,111
COL,1.354166667,-78.47916667,COL.21.46_1_gadm36,1018.738403,968.6308145,968.6308145,1020212,1020212,113
COL,1.270833333,-78.47916667,COL.21.46_1_gadm36,456.7306519,6658.190452,6658.190452,1020291,1020291,125
COL,1.229166667,-78.47916667,COL.21.46_1_gadm36,348.0368042,10505.40673,10505.40673,1020291,1020291,126
COL,1.395833333,-78.4375,COL.21.46_1_gadm36,1240.093262,1850.561192,3898.984859,1020164,1020162,131
COL,1.270833333,-78.4375,COL.21.46_1_gadm36,330.1998291,7350.046168,7350.046168,1010868,1010868,146
COL,1.395833333,-78.39583333,COL.21.46_1_gadm36,1182.617065,2426.706947,2426.706947,1010493,1010493,154
COL,2.229166667,-78.4375,COL.21.39_1_gadm36,533.9530029,2615.171059,4750.627848,1011099,1023189,138
COL,2.270833333,-78.39583333,COL.21.39_1_gadm36,864.9118042,3350.409747,3350.409747,1010318,1010318,152
COL,2.229166667,-78.39583333,COL.21.39_1_gadm36,870.1134033,2384.41135,2384.41135,1010291,1010291,153
COL,2.354166667,-78.39583333,COL.21.39_1_gadm36,630.369812,4343.615108,4343.615108,1010297,1010297,156
COL,2.1875,-78.39583333,COL.21.39_1_gadm36,701.2597656,738.7769589,738.7769589,1011100,1011100,157
COL,2.145833333,-78.39583333,COL.21.39_1_gadm36,580.9664307,1987.512328,1987.512328,1023200,1023200,160
COL,2.0625,-78.5625,COL.21.20_1_gadm36,772.3478394,10702.13191,10702.13191,1010241,1010241,82
COL,2.020833333,-78.52083333,COL.21.47_1_gadm36,615.1206665,7573.488542,7573.488542,1023193,1023193,97
COL,1.979166667,-78.52083333,COL.21.47_1_gadm36,639.5041504,8639.72923,10176.62421,1020104,1010525,99
COL,2.145833333,-78.52083333,COL.21.47_1_gadm36,635.1670532,4505.8658,8313.450908,1010230,1023191,100
COL,2.104166667,-78.52083333,COL.21.47_1_gadm36,572.803833,7216.792792,7216.792792,1010528,1010528,101
COL,1.8125,-78.47916667,COL.21.47_1_gadm36,1279.586548,1551.476399,1551.476399,1020157,1020157,109
COL,1.895833333,-78.47916667,COL.21.47_1_gadm36,929.4743652,6158.500258,7763.350549,1020104,1020157,112
COL,2.270833333,-78.47916667,COL.21.47_1_gadm36,539.3967896,2755.747272,3028.559075,1011098,1010236,114
COL,2.1875,-78.47916667,COL.21.47_1_gadm36,509.963562,6180.944724,6180.944724,1023197,1023197,120
COL,2.145833333,-78.47916667,COL.21.47_1_gadm36,477.3430786,4196.145522,4196.145522,1023191,1023191,121
COL,2.020833333,-78.47916667,COL.21.47_1_gadm36,450.3142395,3959.702299,3959.702299,1023193,1023193,122
COL,1.979166667,-78.47916667,COL.21.47_1_gadm36,461.983429,6133.703938,6133.703938,1010525,1010525,123
COL,2.104166667,-78.47916667,COL.21.47_1_gadm36,461.7126465,2947.111056,2947.111056,1023188,1023188,124
COL,1.770833333,-78.4375,COL.21.47_1_gadm36,718.1980591,1833.199281,1833.199281,998824,998824,132
COL,1.9375,-78.4375,COL.21.47_1_gadm36,474.0756226,4276.127381,4276.127381,1023190,1023190,139
COL,2.104166667,-78.4375,COL.21.47_1_gadm36,454.0743408,2409.42673,2409.42673,1023191,1023191,142
COL,2.0625,-78.4375,COL.21.47_1_gadm36,467.0533752,2777.185073,2777.185073,1023193,1023193,143
COL,2.020833333,-78.4375,COL.21.47_1_gadm36,455.7262878,846.1412434,846.1412434,1010525,1010525,144
COL,1.854166667,-78.4375,COL.21.47_1_gadm36,455.854126,5896.302368,5896.302368,1020157,1020157,145
COL,1.6875,-78.39583333,COL.21.47_1_gadm36,1145.635132,5111.54008,5111.54008,1010516,1010516,150
COL,1.770833333,-78.39583333,COL.21.47_1_gadm36,554.2901001,3493.785528,3493.785528,998824,998824,162
COL,1.604166667,-78.39583333,COL.21.5_1_gadm36,1381.265137,3292.148379,3978.17892,1020263,1023201,149
COL,2.354166667,-78.52083333,COL.21.38_1_gadm36,462.1658936,4445.156185,4445.156185,1010290,1010290,102
COL,2.4375,-78.52083333,COL.21.38_1_gadm36,423.2311401,2563.93025,2563.93025,1011095,1011095,104
COL,2.354166667,-78.47916667,COL.21.38_1_gadm36,504.2233276,3189.945222,3189.945222,1011097,1011097,117
COL,2.479166667,-78.47916667,COL.21.38_1_gadm36,497.7599487,2099.821125,2099.821125,540712,540712,118
COL,2.4375,-78.47916667,COL.21.38_1_gadm36,498.8253784,2875.460086,2875.460086,540712,540712,119
COL,2.270833333,-78.4375,COL.21.38_1_gadm36,548.4555054,2813.292619,2813.292619,1011099,1011099,133
COL,2.479166667,-78.4375,COL.21.38_1_gadm36,525.6178589,3441.609957,3441.609957,1011047,1011047,135
COL,2.5625,-78.4375,COL.21.38_1_gadm36,348.8505554,3806.990888,3806.990888,1011051,1011051,136
